title,authors,venue,year,category,read,ranking,link
LiteCo: Illuminating Workspace Awareness with Ambient Display,"Xu, Liu, Van Essen",CHI EA,2025,Peripheral / Ambient Displays,false,low,https://doi.org/10.1145/3706599.3719781
Ambient Information Design for a Work Environment,"Torpus, Kovacevic, Navarro",HCI (Springer),2023,Peripheral / Ambient Displays,false,low,
Exploring Vibrotactile and Peripheral Cues for Spatial Attention Guidance,"Stratmann, Lücken, Gruenefeld",Pervasive Displays,2018,Peripheral / Ambient Displays,false,low,https://doi.org/10.1145/3205873.3205874
A Survey on Measuring Cognitive Workload in HCI,"Kosch, Karolus, Zagermann, Reiterer",ACM Computing Surveys,2023,Cognitive Load / Attention Monitoring,false,low,https://doi.org/10.1145/3582272
Measuring Cognitive Load Using Eye Tracking in Visual Computing,"Zagermann, Pfeil, Reiterer",CHI Workshop,2016,Cognitive Load / Attention Monitoring,false,low,https://doi.org/10.1145/2993901.2993908
Neuro-Informed Joint Learning for Cognitive Workload Decoding,"Yang, Feng, Chen",arXiv,2025,Cognitive Load / Attention Monitoring,false,low,https://doi.org/10.1007/s12559-020-09773-x
Real-Time Attention Regulation Using Wearable EEG-Based BCI,"Huang, Chen et al.",IEEE Transactions,2024,Cognitive Load / Attention Monitoring,false,low,https://doi.org/10.1109/tbme.2024.3468351
Bodily Maps of Emotions,"Nummenmaa, Glerean, Hari, Hietanen",PNAS,2014,Somatic / Interoceptive Biofeedback,false,high,https://doi.org/10.1073/pnas.1321664111
Somaesthetic Meditation Wearable: Exploring the Effect of Targeted Warmth Technology on Meditators' Experiences,"Ezer, Giron, Erel, Zuckerman",CHI,2024,Somatic / Interoceptive Biofeedback,false,high,https://doi.org/10.1145/3613904.3642557
"Corsetto: A Kinesthetic Garment for Designing, Composing for, and Experiencing an Intersubjective Haptic Voice","Kilic Afsar, Stepanova, Ben Abdesslem, Luft, Cotton",CHI,2023,Soma Design / Body-Centric HCI,false,high,https://doi.org/10.1145/3544548.3581294
A Journey Inward: The Somaesthetic Experience of a Heated Walking Carpet,"Dublin, Ezer, Zuckerman",CHI EA,2024,Somatic / Interoceptive Biofeedback,false,high,https://doi.org/10.1145/3613905.3650915
OmniFiber: Integrated Fluidic Fiber Actuators for Weaving Movement based Interactions into the Fabric of Everyday Life,"Kilic Afsar, Shtarbanov, Mor, Nakagaki, Forman, Modrei, Jeong, Hjort, Höök, Ishii",UIST,2021,Soma Design / Body-Centric HCI,false,high,
Purrfect Pitch: Exploring Musical Interval Learning through Multisensory Interfaces,"Chin, Fang, Paradiso",arXiv,2024,Somatic / Interoceptive Biofeedback,false,high,https://doi.org/10.48550/arxiv.2407.09721
Embroidered Resistive Pressure Sensors: A Novel Approach for Textile Interfaces,"Aigner, Pointner, Preindl, Parzer, Haller",CHI,2020,E-Textiles / Fabrication,false,high,https://dl.acm.org/doi/10.1145/3313831.3376305
